,pdf기사본문따오기,본문
31,,"KGC인삼공사,갱년기여성전용건강기능식품출시홍삼,백수오등배합한‘화애락퀸’박경훈기자2013-04-0310:04:11산업일반KGC인삼공사가갱년기여성을위해홍삼과백수오를결합한복합건강기능식품‘화애락퀸’을출시했다고3일밝혔다.화애락퀸은6년근홍삼을기본으로갱년기건강관리에도움을주는재료들로알려진백수오와속단,당귀등을사용해만든제품으로우울감,건망증,수면장애,통증등다양한갱년기증상완화를비롯해혈액순환,기초체력증진에도움이되도록개발됐다.가격은30포(1포70ml)에15만원.<저작권자ⓒ서울경제,무단전재및재배포금지>\x0c'"
32,,"글자크기줄간격취소진생당흑홍삼\'원투쓰리효과\'화제파이낸셜뉴스입력:2015.06.2216:40수정:2015.06.2216:40중동호흡기증후군(메르스)사태로면역력강화에관심이높은가운데진생당흑홍삼제품의\'원투쓰리효과\'가화제다.진생당의흑홍삼은특수제조과정을통해기존홍삼의효능을극대화시킨제품이다.일반적으로홍삼이라고하면붉은색을연상하기마련이다.하지만이는사실인삼을찌고말리는과정에서사포닌,진세노사이드등이포함돼있는홍삼진액이외부로빠져나가면서색이바랜결과다.흑홍삼은제조공정에서흑갈색의진액이빠져나가지않도록특별히제조한홍삼이라고이해하면된다.흑갈색의진액이유실되지않아홍삼이흑갈색을띄어흑홍삼으로불리고있다.22일업계에따르면진생당의흑홍삼제품이3가지특징으로차별화하면서\'흑홍삼원투쓰리효과\'로인기를끌고있다.첫째는홍삼분자의뭉침현상으로장내흡수율이떨어지는것을막은것이다.진생당은본인들만의홍삼포접화기술을적용,일부사포닌성분의흡수율을3배이상높였다.다음으로홍삼의유효성분들이세포벽으로막혀있어흡수가어려웠던기존한계를극복했다.진생당세포벽분쇄기술로막혀있던유효성분까지흡수가가능하도록했다.마지막으로사포닌의결정체라할수있는희귀인삼열매가제품에함유돼있다는점이다.인삼열매는홍삼뿌리보다사포닌함량이최대15배나높다.진생당관계자는""기존제조방식에서발생하는진액유실을막아홍삼효능을끌어올리는것은물론사포린등함량증대에힘쓴것이제품경쟁력이됐다""고설명\x0c했다.hsk@fnnews.com홍석근기자※저작권자ⓒ파이낸셜뉴스.무단전재-재배포금지취소\x0c'"
33,,"체온이올라가면면역력도함께올라간다입력2016-11-2418:30:31,수정2016-11-2418:32:35\xa0갑작스레찾아온추운날씨로인해우리몸의체온은쉽게떨어진다.체온이1도낮아지면면역력은30%나떨어지며,각종바이러스에노출될위험성도높아진다.반대로체온이1도만올라가도우리몸의면역력은5배나높아진다.면역력과밀접한관계인체온을높이는가장쉬운방법은틈날때마다스트레칭으로긴장된몸을풀어주는것이다.근육을자주움직여주면활동량이늘어나몸의온도가올라가기때문에가벼운산책이나유산소운동을주기적으로해주는것도좋다.이처럼면역력과체온을지키기위해서는평소생활습관이중요하다.\xa0면역력을높이기위해서는혈액순환에도움을주고체온을높여주는음식을꾸준히먹는것이좋다.홍삼은몸을따뜻하게해주는대표음식으로,홍삼을담은건강기능식품은보관이용이하고복용이간편해면역력개선을원하는현대인들의큰관심을받고있다.바이탈뷰티(VITALBEAUTIE)‘명작수’는인삼의유효성분을고압에서효과적으로추출하는천삼화기술로만든홍삼과,인삼열매(진생베리®)를부원료로담은고농축홍삼앰플로,면역력증진및피로개선,그리고혈소판응집억제를통한혈액흐름개선에효과적이다.\xa0특히인삼열매(진생베리®)는인삼뿌리보다2~3배이상많은사포닌(진세노사이드)을가지고있고,특정사포닌(진세노사이드Re)의경우최대30배이상많이함유하고있다.명작수는앰플형태로되어있어하루에1앰플씩편한시간대에섭취가가능하며기호에따라냉/온수에타서차로즐겨도좋다.김정환기자hwani89@segye.com\x0c'"
34,,"한삼인홍삼정프라임[중앙일보]입력2016.03.2200:00\xa0\xa0수정2016.03.2415:17요즘새출발을하는사람이많다.춘곤증과\xa0긴장감이맞물리면서의욕만큼몸이따라\xa0주지않는다.낮에졸아밤잠을설치기도한다.그런데홍삼이피로를날리고기억력과\xa0수면질을끌어올린다는연구가많다.우선\xa0홍삼의사포닌은뇌신경세포손상물질이\xa0생성되는것을막아기억력을개선한다.사포닌은학습과기억력에중요한뇌신경전달물질인아세틸콜린의농도를높인다.춘곤증날리는홍삼영양분그대로담아홍삼(4.5g)을섭취하면깊은잠(3단계\xa0홍삼은수면의질을높인다.매일수면)은늘고얕은잠(2단계수면)은줄어든다는연구결과도있다.홍삼은피로회복에\xa0좋다.에너지생성촉진호르몬을조절하기때문이다.\xa0농협홍삼은우리인삼만수매해첨단GMP가공시설에서홍삼제품을\xa0제조한다.농협홍삼의대표제품인‘한삼인\xa0홍삼정프라임’(사진)은국산6년근홍삼만을농축한건강기능식품이다.식품의약품안전처는홍삼이면역력을증진하고피로·혈행·기억력을개선하며항산화에도움을준다고인정했다.\xa0기호에따라따뜻하거나차가운물에한삼인홍삼정프라임을1g타서마시면홍삼의맛·향·영양성분을간편하게섭취할수\xa0있다.이제품은100%홍삼을순수물추출방식으로\x0c제조한다.홍삼고유의맛·향을\xa0진하게느낄수있다.홍삼의\xa0영양성분이그대로담겼다.검사항목만200여가지.한삼인\xa0홍삼정프라임의가격은240g\xa0기준16만8000원,120g은8만\xa07000원이다.정심교기자\xa0simkyo@joongang.co.kr\x0c'"
35,이재희,"일동제약,이상지질혈증개선균주·사균체특허취득전환욱기자(sotong@ajunews.com)|입력:2021-05-2004:26|수정:2021-05-2004:26[사진=일동제약]일동제약이이상지질혈증개선용프로바이오틱스균주·사균체와관련한조성물특허를취득했다고20일밝혔다.이번특허의정식명칭은'내산성및내담즙성이우수하며이상지질혈증의예방또는치료효과를가지는신규비피도박테리움브레베IDCC4401균주와그것으로부터얻은사균체ID-BBR4401'이다.일동제약에따르면,해당특허의핵심이되는'IDCC4401'과'ID-BBR4401'은장내에서콜레스테롤,담즙산과쉽게결합하는특성을지니고있다.특히'IDCC4401'을열처리해사균화한'ID-BBR4401'은생균과비교해위산과담즙등에잘견뎌안정적이며효능또한동등하거나동등이상수준을나타낸다고일동제약측이설명했다.앞서일동제약은동물실험을통해해당물질이콜레스테롤과담즙산의흡수를억제하고체외로배출을유도하는등이상지질혈증을개선하는것을확인한바있다.일동제약관계자는""사균체의경우안전성이높아제품등으로상용화하기에유리하고유통및보관이쉽다""며""추가연구를통해이상지질혈증과관련한기능성소재로개발하는한편,특허를응용한다양한제품도선보일계획""이라고밝혔다.전환욱기자(sotong@ajunews.com)©'5개국어글로벌경제신문'아주경제.무단전재·재배포금지"
36,,"취소당신을지켜주는면역세포70%는○에있어요장건강에좋은프로바이오틱스""정신건강에도효과""연구결과도이병문기자입력:2021.02.1623:01:01수정:2021.02.1714:08:30장은건강의척도다.장은매일먹은음식을소화시키고,필요한영양분을흡수한후나머지필요없는찌꺼기를배변으로배출시킨다.장에는100종류넘는세균100조개가존재한다.이균들은우리가섭취한음식물을먹고함께살아가는데,건강한장을유지하려면장내유익한균이많아야한다.그래야외부에서항원(병원균)이침투했을때체내면역체계가올바르게작동할수있다.우리몸은외부항원이침투하면자연면역(NK세포)과후천면역(수지상면역세포)이라는이중구조시스템이작동한다.먼저자연면역,즉제1단계면역이작동해즉각항원을공격해제거한다.이어면역의2단계(후천)면역이발동해수지상세포는잔해를먹어치우면서잔해의정보를상세하게조사해특징과약점을파악하고보조T세포에정보전달및기억하도록하며이후또다시침투해오면공격하도록지시한다.공격명령을받은보조T세포는B세포에이전에입력된병원균정보를이용해항체제조및생산을지시하고살상T세포와함께외부항원을죽이는일을돕는다.T세포는가슴부위에있는흉선(가슴샘)에서유래하는림프구(백혈구)로보조T세포와살상T세포로나뉜다.이처럼면역시스템이원활하게작동하려면면역력유지가중요하다.장에는인체면역세포의70%가집중돼있다.장은유익균이많아야좋은데,이유익균을총칭해프로바이오틱스라고부른다.프로바이오틱스는장내유해균활동을억제하고독성물질생성을낮춰건강한면역체계유지에도움을준다.식품의약품안전처에서인정하고있는국내프로바이오틱스종류는19종이다.그중락토바실러스종류가11종으로가장많다.락토바실러스종은소장에서면역및항균,유해균억제역할을한다.비피도박테리움종류는4개로대장에서장기능개선,대장균억제등다양한역할을한다.엔테로코커스2종과락토코커스,스트렙토코커스각각1개다.최근몇년간프로바이오틱스시장은지속성장중이다.한국건강기능식품협회에따르면프로바이오틱스가건강기능식품으론홍삼에이어두번째높은매출을보이고있다.바이오일레븐관계자는""인체면역세포의약70%가장에있는것으로알려져있는데장이건강하면건강에전반적으로긍정적인효과를기대할수있다""며""자사\'드시모네\'제품은장면역향상에도움을줄수있다""고말했다.최근프로바이오틱스가정신건강에도도움을준다는연구결과도발표됐다.장내유익균이증가하면뇌에긍정영향을미치는호르몬이분비된다는것이다.학계는장과뇌가양방향으로연결돼서로영향을주고받는다는장·뇌연결축이론에주목하고있다.캐나다맥매스터대학병원베르식박사팀이불안및우울증증상이있는성인44명을무작위로프로바이오틱스를6주간섭취시켰더니불안및우울증증상이63.6%개선됐다.MRI검사에서도뇌영역중부정적인\x0c감정적자극에대한반응이감소했다.반면섭취하지않은대조군은우울증상이31.8%감소하는데그쳤다.이탈리아연구진은프로바이오틱스섭취를통해자폐아의사회성및증상완화에도움을줄수있다는결과를내놨다.프로바이오틱스가정신건강개선에영향을준다는연구는앞으로더많은데이터가필요하다.다만장과뇌가긴밀한상호작용을할수있다는여러연구결과를통해향후우울증치료제나예방제로개발될수있다는가능성을보여주고있다.[김백상매경헬스기자][ⓒ매일경제&mk.co.kr,무단전재및재배포금지]\x0c'"
37,,"쎌바이오텍`쎌바이옴`,100%한국산유산균섭취로건강증진취소김병호기자입력:2021.03.1204:01:03◆면역력을키우자◆최근1년넘게지속되고있는코로나19영향으로면역력에대한관심이높아지고있다.규칙적인운동,균형잡힌영양소섭취,충분한수면등이면역력증진에도움이될수있지만체내면역세포70%이상이존재하는장건강을지키는것또한면역력을지키는데효과적인방법이다.면역력을키우기위해프로바이오틱스섭취가중요하다는사실이알려지면서유산균제품이인기를끌고있다.하지만어떤유산균제품을선택해야하는지,그기준을올바르게알고있는소비자가드문것이현실이다.마이크로바이옴전문기업쎌바이오텍에따르면유산균은균의수보다비율이중요하다.또한한국인을대상으로한임상데이터와한국인식습관에맞춰안전성이검증된100%한국산유산균의섭취가무엇보다중요하다.이에쎌바이오텍은한국인의장내미생물분석을통해장상태를면밀히확인한후유산균제안과식생활습관개선을위한정보와맞춤형상담을제공하는'쎌바이옴'프로그램을선보였다.쎌바이옴은셀바이오테크(Cellbiotech)와마이크로바이옴(Microbiome)의합성어로,분변의수많은균총을분석하는차세대염기서열분석(NGS)기술을통해장안에유익균과유해균,균총다양성,균총밸런스,프로바이오틱스19종지수,장불편지수등을파악한다.이후쎌바이오텍제품인'듀오락'유산균을섭취하면서장건강을관리할수있는프로그램이다.사람마다살아온환경이다른것처럼사람마다장내미생물생태계도모두다르다.장내미생물생태계는사는지역,식습관,약물복용여부,운동여부,연령등여러가지요인을바탕으로구성된다.마이크로바이옴에따라필요한유산균도다르기때문에장분석을통한맞춤형유산균섭취가더욱중요하다.이로인해정확한진단을바탕으로내게필요한유산균을섭취함으로써면역력을증진하는것이현대인의스마트한유산균섭취방법이다.쎌바이오텍관계자는""한국전통식품중김치와된장같은발효식품과마늘,양파,고추등매운향신료등은장내다양한미생물균총이장내에정착하도록도와준다""며""발효식품과함께섬유질이많은콩류,오메가3함유량이높은생선,식이섬유가많은미숫가루등의곡물역시장건강유지에도움이된다""고말했다.[김병호기자][ⓒ매일경제&mk.co.kr,무단전재및재배포금지]"
38,,"아모레퍼시픽,세계첫특허토종`녹차유산균`1분에1개씩팔리며각광이영욱기자입력:2021.03.2404:03:07◆리빌드코리아◆취소아모레퍼시픽기술연구원전경.[사진제공=아모레퍼시픽]지난해국내유산균시장이약8800억원규모로폭발적인성장을이어나간가운데식품업계가다양한제품을잇달아선보이며소비자들선택지를넓히고있다.쏟아지는유산균제품,브랜드,균주,보장균수등여러조건에서어떤기준으로제품을선택해야하는가에대한소비자들의관심과고민도덩달아늘어나고있다.유산균(프로바이오틱스)제품은우리장내미생물환경에영향을줄수있는이로운유익균으로만든다.전문가들은한국인의식습관과생활습관등을고려했을때가급적국내산'토종유산균'을섭취하는것이좋다고조언한다.덴마크와불가리아등국가들이유산균종주국으로알려져있지만김치와각종장등발효식품부터마이크로바이옴연구에이르기까지국내유산균연구·기술역량의현주소도괄목할만하다고전문가들은입을모은다.그중에서도국내기업과유산균연구분야의세계적권위자가공동개발해세계최초로특허를취득한토종유산균이있어눈길을끈다.아모레퍼시픽은풍미가깊은발효녹차의잎에발효를돕는유익한식물성유산균주가있다는사실을밝혀냈으며연구를통해제주유기농녹차밭에서새로운유산균주를독자발견했다.아모레퍼시픽은기술연구원산하에지난2월녹차유산균연구센터를신설하고관련연구를이어가고있다.아모레퍼시픽기술연구원소속녹차유산균연구센터는아모레퍼시픽이제주유기농차밭에서발견한새로운유산균소재의연구를강화하고,미생물을비롯한여러분야에서더욱혁신적인제품개발을이어가고있다.아모레퍼시픽기술연구원은1980년대부터녹차소재에관한연구를시작했으며,2000년대들어서는피부효능을지닌신품종녹차연구까지연구범위를확대했다.1997년부터는미생물을포함해피부와두피,모발특성에관한연구도이어온바있다.지난해11월에는녹차유래유산균관련내용을SCI급저널인'프로바이오틱스및항균성단백질'에도게재한바있다.아모레퍼시픽기술연구원은신설한녹차유산균연구센터를통해해당소재의효능을추가로검증하고건강식품과화장품등여러분야에서녹차유산균을사용한혁신제품개발을지속해나갈예정이다.아모레퍼시픽기술연구원녹차유산균연구센터는지난해11월'자연과인간의조화,녹차유산균'을주제로녹차유산균발견10주년기념온라인학술심포지엄도진행했다.녹차유산균을처음발견한오설록제주돌송이차밭에서진행한심포지엄영상은아모레건강TV유튜브채널을통해온라인으로공개했다.아모레퍼시픽의녹차유산균연구10주년을기념해개최한이번심포지엄에는국내외전문가들이참가해녹차유산균과미생물관련연구성과를공유하고그기능성에대해논의했다.홀잡펠이펙티브마이크로브스(HEM)의최고경영자인지요셉박사는'녹차유산균의안전성및기능성연구'에대해발표했다.관련발표는세계적인수준에서검증한녹차유산균의안전성과우수한프로바이오틱스생존력,인체내장정착력을비롯해대사조절및호흡기면역에서우수한기능성연구성과에대한내용이었다.아모레퍼시픽은지난해세계식품미생물및위생연합회장인빌헬름홀잡펠교수와독점특허균주녹차유래유산균GTB1(녹차유산균)을공동연구로개발했다.이어논문을통해표준균주대비생존력과정착력,항생제내성등안전성이월등히우수하다는점을입증했다.또알코올성위궤양비임상모델에서위손상을억제하면서항염증효과를보였고,위염증조절기능을가졌다는점도SCI급논문을통해확인한바있다.서경배대표국내에서개발한토종유산균인녹차유래유산균이함유된아모레퍼시픽바이탈뷰티의'녹차에서온유산균'은지난해3월출시이래20만개이상판매되며1분에1개씩팔리는대세유산균으로각광받고있다.녹차유산균공동연구를담당한홀잡펠교수는""한국인의식습관을면밀히분석해적합한균주를선별했다""며""다양한장내유익균을증가시켜속편안하게장건강을관리할수있는것이장점""이라고덧붙였다.박영호아모레퍼시픽기술연구원장은""스트레스와맵고짠식습관이특징인한국인에게녹차유산균이유용한역할을할것으로기대한다""고말했다.[이영욱기자][ⓒ매일경제&mk.co.kr,무단전재및재배포금지]"
39,,"취소[제약]일동제약`지큐랩`,건강한한국인장에서얻은맞춤유익균기자입력:2021.03.0204:03:02수정:2021.03.0217:18:17'지큐랩시리즈'는일동제약의프로바이오틱스건강기능식품이다.지큐랩에는유산균의일종인락토바실러스속(屬),비피더스균의일종인비피도박테리움속등건강한한국인의장에서얻은핵심유익균이다양하게들어있다.또한식품의약품안전처가제시하는일일권장섭취량을충족하도록각제품의특성및섭취연령층에따라10억CFU(집락형성단위)에서100억CFU까지보장균수를적절히설계했다.지큐랩에사용된프로바이오틱스원료에는특허받은4중코팅기술이공통적으로적용됐다.이기술은프로바이오틱스를섭취했을때소화액등위장관내다양한환경요인으로부터균을안전하게보호해장까지도달하게하며,유통이나보관중발생하는균의손실을막아품질을유지하는역할을한다.지큐랩시리즈의대표격인'지큐랩데일리'는락토바실러스,비피도박테리움등10종의유익균이900억마리이상투입(보장균수100억CFU)된제품이다.특히유해균억제및유산균증식,원활한배변활동등에도움을줄수있는프로바이오틱스와함께정상적인면역기능및세포분열에필요한아연등이들어있다.'지큐랩에스신바이오틱스'는9종의프로바이오틱스는물론장내유익균증식및유해균억제를돕는프리바이오틱스'자일로올리고당'이함께들어있는'신바이오틱스'개념의제품이다.또아토피피부염개선관련특허로등록됐고면역과민반응에의한피부상태개선에도움을줄수있는개별인정형원료로허가받은'RHT-3201'을활용한'지큐랩포스트바이오틱스알에이치티'등의고기능성제품도선보이고있다.일동제약관계자는""사람의장에는인체면역세포의약70%가분포해있으며,다양한유익균과유해균이100조개이상어우러져살고있다""면서""장건강은물론장내환경및미생물균형의관리가중요한이유""라고강조했다.[ⓒ매일경제&mk.co.kr,무단전재및재배포금지]"
40,,"취소[헬스]작지만든든하다…내몸지켜주는`장내미생물`우리몸속미생물생태계`마이크로바이옴`관심늘어불균형땐치매·우울증유발프로바이오틱스섭취로도움박윤균기자입력:2021.04.0704:01:02수정:2021.04.0707:45:16""모든질병은장(腸)에서시작된다.""'의학의아버지'라불리는히포크라테스는이미기원전400년께에장건강의중요성을암시했다.장내미생물이인체에얼마나다양하고중요한영향을미치는지그가치는나날이증명되고있다.전문가들은""장내미생물이어떻게바뀌는지에따라우리몸의질병지도가바뀐다""고설명한다.장내미생물이소화기질환은물론,암과비만,치매,우울증등우리몸전체의질환과직간접적으로연관돼있다는것이다.마이크로소프트창립자빌게이츠역시세계를바꾸게될세가지중하나로,미생물집단을뜻하는마이크로바이옴을지목했다.마이크로바이옴시대에도래한지금,가장먼저챙겨야할것은바로장건강이다.◆면역력좌우하는장내미생물사람의몸안에서미생물들이이루고있는생태계를마이크로바이옴이라고부른다.사람은저마다손가락의지문처럼각기다른마이크로바이옴을지녔으며,이차이에의해신체의건강이좌우된다.인간의유전자는바꿀수없지만인간이어떻게행동하느냐에따라미생물의생태계와그유전자는바꿀수있다는점에서마이크로바이옴연구가활성화되고있다.몸속미생물의대부분은대장속에살고있다.이미생물들은과민성장증후군,크론병,대장암등장질환뿐만아니라다양한질병과연관성이높다.신경계와면역계를움직이는역할을하기때문이다.치매,우울증과같은뇌질환을비롯해당뇨,비만,심혈관질환,아토피,천식과같은면역질환등대부분의질환이마이크로바이옴과밀접한연관성이있다는연구결과가있다.그중첫째는면역체계를강화하는기능이다.음식물을섭취하면외부항원이장점막을통해유입되는데장점막의외부층에주로분포하는장내미생물이음식물에포함된미생물에대한일차적인방어기능을담당하면서신속하고강력하게면역반응을일으킨다.이과정에서장내미생물은인간의면역시스템과끊임없이상호작용하면서면역체계를강화한다.실제신생아시기에장내마이크로바이옴이제대로조성되지않으면면역체계가형성되지않아알레르기질환의발생가능성이높다는점은널리알려진사실이다.또한장내미생물은뇌의영역과도밀접한관련이있다.소화기관과뇌는서로떨어져있는것처럼보이지만,실제로특별한신경세포와면역경로인'장-뇌축(gut-brainaxis)'으로연결돼있다는것이연구들의논리다.자폐증,파킨슨병,알츠하이머,우울증등과같은정신신경계질환에영향을미친다.◆장내생존율관건,프리바이오틱스가효과장내미생물은개인마다제각각다르다.태어날때부터유전,식습관,생활습관에따라개인별로다양한군집구조를갖는다.즉,어떤사람은몸에유익한균(유익균)이,어떤사람은유해균이많다.병에걸린사람일수록유익한세균은줄고나쁜균이득세한다.똑같은음식을먹어도누구는쉽게배탈이나거나살이찌는것도이러한장내미생물때문이다.장내미생물의균형이깨지면,몸에이로운유익균군집이붕괴되고해로운균이득세하면서염증과산화스트레스가발생해각종질병의원인이된다.평소건강한장내미생물을얻기위해서는프로바이오틱스를꾸준히섭취해야한다.프로바이오틱스는체내에서건강에이로운효과를주는살아있는미생물을의미한다.보편적으로알려진'유산균'이프로바이오틱스의일종이다.프로바이오틱스는장내유익균을늘리고유해균을억제하는역할을한다.장에서젖산을분비해장내환경을산성으로유지하게한다.이과정에서산성환경을견디지못하는유해균은감소하고유익균은증가함으로써장내균형을맞춰장을건강하게만들어준다.프로바이오틱스제품을고를때는균수와장내생존율,프리바이오틱스의함유등을꼼꼼히따져보는것이좋다.위산과소화효소에의해분해되지않고살아있는상태로소장까지도달하여장에서증식하고정착가능해야한다.균자체가아무리좋아도,식도와위를거쳐장까지살아서도달하지않는다면아무소용이없다.장내생존율을높이기위한기술력이적용된제품이효과적이다.하지만단기간짧게유산균을섭취한다고면역력이높아지는것은아니다.어떤유산균이든효과를보려면한달이상꾸준히먹어야한다.식품의약품안전처에서지정한프로바이오틱스일일권장량은1억~100억마리다.과다섭취시엔장내가스발생,설사유발등의가능성이있으므로주의하는것이좋다.[박윤균기자][ⓒ매일경제&mk.co.kr,무단전재및재배포금지]"
41,,"취소유한양행""여성용유산균엘레나,뷰티플랫폼글로우픽평가서만족도1위""한경우기자입력:2021.04.0917:47:43[사진제공=유한양행]유한양행은여성용유산균제품'엘레나'가최근뷰티플랫폼'글로우픽'의설문단평가에서유산균부문1위로선정됐다고9일밝혔다.20~40대여성100명을대상으로15일동안제품을복용하도록한뒤이뤄진설문평가에서엘레나는전체적만족도92%,추천의향90%,편안한섭취만족도98%등의평가를받았다.또여성커뮤니티'파우더룸'이글로우픽과같은조건으로진행한설문평가에서도엘레나는제품성분만족도98%,질건강개선신뢰도92%,복용시편안함100%의성적을받았다.유한양행엘레나는국내최초로여성의질건강에도움을줄수있는개별인정형건강기능식품원료UREX프로바이오틱스를함유한제품이다.여성의질과장내환경을개선하고건강한상태로유지하는데도움을주는제품이라는콘셉트를갖고있다.UREX프로바이오틱스는최초로여성질건강으로식약처인증을받았으며상호보완적인두종류의특허균주의이상적인배합으로만들어져과학기술논문인용색인지수(SCI)급논문에도등재됐다.또인체적용시험을통해질염현상개선및요로감염재발율감소,질내균총의정상화등여성질건강도움기능성을확인받았다.유한양행관계자는""2015년판매이후100만병돌파와함께'글로우픽유산균1위'를차지한'엘레나'는캡슐이작고1일1회섭취로복용이편리하며,덴마크크리스찬한센의Urex프로바이오틱스성분에대한신뢰도가높은제품""이라면서""질건강개선에대한만족도가높아재구매로이어지는제품으로약국과유한양행공식몰에서만나볼수있다""고말했다.[한경우매경닷컴기자case@mk.co.kr][ⓒ매일경제&mk.co.kr,무단전재및재배포금지]"
42,,"취소[제약]CJ제일제당,100억마리생존유산균이살아서장까지기자입력:2021.03.1704:03:04장건강을위해유산균을섭취하는이들이늘고있다.유산균종류가다양한데유산균을선택할때가장중요한기준은바로장까지살아서가는'생존력'이다.아무리많은유산균을섭취한다고해도장까지살아서가지못하면무용지물이기때문이다.CJ제일제당의'BYO100억생유산균골드'는CJLP243유산균을주원료로한프로바이오틱스건강기능식품이다.CJLP243유산균은CJ제일제당이8년여연구를통해독자적으로개발한유산균이다.김치가산패하기직전높은산도(pH3.0)의가혹한환경에서살아남은김치유래유산균으로서,높은산도에견디는생명력이우수하기때문에'생존유산균'이라는별명이붙여졌다.세계10개국에서글로벌특허를획득했으며,위산과담즙산을이겨내고장끝까지살아가건강하게장환경을지켜준다.있다.하루한캡슐로식품의약품안전처유산균1일섭취권장량의최대치인100억Cfu를섭취할수또한BYO100억생유산균골드는CJLP243유산균뿐아니라정상적인면역기능에필요한아연까지주원료로넣어면역까지신경썼다.아연은호흡기상피세포를보호하고염증반응을억제해면역력을높여주는필수영양소다.여기에부원료로발효홍삼농축액분말,프롤린,귀리식이섬유까지넣었다.보관용기도특별하다.용기자체에제습기능이있는특허용기여서방습제가필요없으며,실온에보관해도유통기한이끝날때까지100억유산균수를보장한다.유산균을담은캡슐또한380㎎의작은식물성캡슐로서목넘김이쉽고편해더욱좋다.BYO100억생유산균골드는CJ제일제당건강케어센터를통해서만구입할수있는프리미엄제품이다.전화주문으로6개월분(3박스·총180캡슐)구매시정상가대비최대43%할인받을수있다.제품상담및구입문의080-092-9988[ⓒ매일경제&mk.co.kr,무단전재및재배포금지]"
43,,"동아제약`미니막스정글멀티비타민`,환절기우리아이면역력걱정된다면…`미니막스`로필수영양소챙기세요취소박윤균기자입력:2021.03.1204:01:04◆면역력을키우자◆환절기는면역력이저하되기쉬운계절이다.갑자기기온이뚝떨어지면평소보다체온이내려가서조절하느라많은에너지가소모돼자율신경균형이깨지기쉽다.사람마다차이는있지만보통체온이1도내려가면면역력이30~40%떨어진다고알려져있다.또한야외활동이적어지면서면역력과밀접한관계가있는비타민D합성도낮아진다.동아제약'셀파렉스(SelfRX)'는생활환경·연령·성별에따른다양한제품을제공해개인별건강유형에따라스스로간편히선택할수있는맞춤형건강기능식품이다.셀파렉스는MNA(MappingNutritionAppropriate)솔루션을적용해개발됐으며이솔루션은동아제약이88년동안건강을연구하며쌓아온전문성과기술력을바탕으로꼭필요한성분과과학에서찾은기능성분을전문적으로설계한방법이다.셀파렉스는현대인의식습관과생활패턴을고려해직접선택할수있도록성별·연령에맞춘에센셜라인4종과기능별필요성분을배합한솔루션라인11종으로제품총15종이있다.또동아제약의어린이건강기능식품미니막스정글은권장량이상으로섭취되는영양성분은제외하고꼭필요하지만부족한영양소만선별해담았다.특히아이들의건강한성장과면역기능을위해서는종합영양·성장발육을위한'미니막스정글멀티비타민미네랄'으로각종비타민과미네랄을챙기고,미니막스정글프로바이오틱스아연으로면역기능에필요한아연을섭취할수있다.[박윤균기자][ⓒ매일경제&mk.co.kr,무단전재및재배포금지]"
44,,"취소[제약]종근당건강`프로메가알티지오메가3듀얼`,체내흡수율한층더높인오메가3기자입력:2021.04.2104:03:02종근당건강`프로메가알티지오메가3듀얼`.[사진제공=종근당건강]한국건강기능식품협회에따르면오메가3는비타민,홍삼,프로바이오틱스다음으로우리나라국민이많이찾는기능성분이다(2019년건강기능식품시장현황).대부분건강검진결과때문에건강이염려되거나음식섭취만으로는영양이충분히보충될것같지않아서,또는몸이피곤하다는이유로오메가3를선택한다.오메가3의대표적인기능은혈행건강이다.혈행은건강을좌우하는첫째조건이다.혈행이원활해야우리몸구석구석산소와영양분이고루전해지기때문이다.오메가3는식품의약품안전처로부터'혈행개선,혈중중성지질개선에도움을줄수있음'이라는기능성을인정받은성분이다.오메가3는우리몸에꼭필요한성분이지만체내에서스스로합성되지않으므로식품형태로보충해줘야한다.오메가3는고등어·참치·연어같은생선과해조류에풍부하다.하지만바쁜현대인들에게매일음식을통해오메가3를충분히보충하기란쉽지만은않은일이다.시중의건강기능식품을구입해도캡슐사이즈가크거나오메가3특유의향에거부감이들어섭취에불편함을호소하는사람들도있다.혈행건강을챙기기위해직접구입하거나지인들에게선물받은오메가3를방치해두는원인이되기도한다.종근당건강대표제품인'프로메가알티지오메가3듀얼'은이러한고민을한층덜어내누구나쉽고간편하게섭취하며혈행건강을관리할수있도록돕는다.체내흡수율을강화한동시에어취는최소화한프리미엄오메가3제품이다.이제품의대표적강점은'높은체내흡수율'과'섭취의편의성'이다.이제품에사용된알티지(rTG)형오메가3는불순물과포화지방산을줄여오메가3의체내흡수율이높다.원료는남태평양청정바다에서서식하는멸치,정어리등소형어류를선별해추출한것으로중금속으로부터안전하게섭취할수있다.또한오메가3특유의어취와캡슐크기를최소화한것도이제품의강점이다.위에서바로녹지않고장까지가서녹는'장용성캡슐'을사용해섭취후느껴지는비릿한향이한층줄었다.캡슐크기도기존자사제품대비42%작아져목넘김이편하다.'프로메가알티지오메가3듀얼'은종근당건강공식상담센터(1644-0884)를통해일주일간할인가로구입가능하다.[ⓒ매일경제&mk.co.kr,무단전재및재배포금지]"
